iter	Passed	Remaining
404	6640	1557
405	6653	1540
406	6666	1523
407	6675	1505
408	6687	1487
409	6699	1470
410	6709	1452
411	6722	1435
412	6735	1418
413	6747	1401
414	6758	1384
415	6771	1367
416	6783	1350
417	6797	1333
418	6811	1316
419	6828	1300
420	6845	1284
421	6862	1268
422	6880	1252
423	6893	1235
424	6910	1219
425	6927	1203
426	6943	1187
427	6961	1171
428	6977	1154
429	6994	1138
430	7010	1122
431	7025	1105
432	7043	1089
433	7059	1073
434	7080	1057
435	7098	1042
436	7118	1026
437	7132	1009
438	7148	993
439	7163	976
440	7186	961
441	7199	944
442	7213	928
443	7227	911
444	7242	895
445	7257	878
446	7273	862
447	7287	845
448	7298	829
449	7310	812
450	7323	795
451	7337	779
452	7353	762
453	7368	746
454	7381	730
455	7395	713
456	7410	697
457	7425	680
458	7440	664
459	7454	648
460	7468	631
461	7482	615
462	7495	598
463	7611	590
464	7668	577
465	7689	561
466	7727	546
467	7741	529
468	7760	512
469	7790	497
470	7807	480
471	7821	464
472	7837	447
473	7851	430
474	7866	414
475	7883	397
476	7901	380
477	7916	364
478	7934	347
479	7950	331
480	7967	314
481	7983	298
482	7999	281
483	8015	264
484	8027	248
485	8041	231
486	8055	215
487	8070	198
488	8084	181
489	8097	165
490	8114	148
491	8128	132
492	8142	115
493	8156	99
494	8170	82
495	8181	65
496	8194	49
497	8211	32
498	8225	16
499	8242	0
