iter	RMSE
0	120.3255878
1	115.9291569
2	111.6567832
3	107.2352524
4	103.4741603
5	99.702573
6	96.06363413
7	92.59074079
8	89.32604124
9	86.01820728
10	82.9423214
11	80.30356343
12	77.57786458
13	74.95084731
14	72.60346036
15	70.40861968
16	68.15525883
17	66.18133185
18	63.91476814
19	62.00325713
20	60.36611353
21	58.61838383
22	56.96710682
23	55.40410887
24	53.92986708
25	52.44012012
26	50.9999248
27	49.86890635
28	48.58896168
29	47.46737534
30	46.11056467
31	44.96779131
32	43.99466835
33	43.01282631
34	41.98069578
35	41.09329658
36	40.26348236
37	39.48994011
38	38.72552116
39	38.00306664
40	37.22843228
41	36.44587215
42	35.88530299
43	35.15036895
44	34.49287097
45	33.85678274
46	33.31322271
47	32.67222262
48	32.13678232
49	31.4218711
50	30.95741519
51	30.30134625
52	29.85544457
53	29.26853389
54	28.79136265
55	28.50361284
56	28.06613939
57	27.6926902
58	27.26531056
59	26.89074549
60	26.54610859
61	26.18820721
62	25.80217573
63	25.45294552
64	25.08868113
65	24.81362422
66	24.61628376
67	24.36771206
68	23.94660706
69	23.6721195
70	23.57862107
71	23.3233108
72	23.0984842
73	22.94955598
74	22.84828284
75	22.61473531
76	22.50425761
77	22.14408342
78	21.91256243
79	21.78474526
80	21.55373055
81	21.28509468
82	21.11091019
83	20.89234606
84	20.78754403
85	20.55574544
86	20.35887889
87	20.24902012
88	20.03408036
89	19.90148203
90	19.8151007
91	19.6673012
92	19.56676193
93	19.42230115
94	19.15740602
95	19.09898714
96	18.92108365
97	18.87295387
98	18.82370545
99	18.73744574
100	18.68522296
101	18.55908256
102	18.38036781
103	18.27914258
104	18.14566406
105	18.05384662
106	18.01431685
107	17.90886374
108	17.81138905
109	17.67729154
110	17.63505112
111	17.47636014
112	17.43528505
113	17.30858876
114	17.27663437
115	17.22207055
116	17.13575492
117	17.05541692
118	17.01359683
119	16.91685806
120	16.8598696
121	16.7776006
122	16.71887156
123	16.62277974
124	16.58367517
125	16.53443588
126	16.43790055
127	16.40425155
128	16.36806588
129	16.34051905
130	16.28779145
131	16.2573236
132	16.16817221
133	16.00453066
134	15.96035489
135	15.92703022
136	15.8212156
137	15.70385112
138	15.66672243
139	15.63294295
140	15.51026621
141	15.46894041
142	15.42878498
143	15.37321214
144	15.32744183
145	15.28770278
146	15.14286611
147	15.11125275
148	15.06699619
149	15.0299273
150	14.99370139
151	14.91586545
152	14.878325
153	14.77146745
154	14.68516997
155	14.59239873
156	14.43865293
157	14.40899032
158	14.37805308
159	14.27897118
160	14.24155398
161	14.20453559
162	14.17469041
163	14.14197273
164	14.1141708
165	14.04192956
166	14.00989754
167	13.97519371
168	13.8935773
169	13.80981524
170	13.77706937
171	13.66866743
172	13.64139801
173	13.60471731
174	13.46345789
175	13.38895463
176	13.24421192
177	13.19284121
178	13.16115626
179	13.13176077
180	13.03702967
181	13.0119721
182	12.98353359
183	12.9001789
184	12.83887902
185	12.81526486
186	12.78769174
187	12.71983605
188	12.67189424
189	12.64692048
190	12.62046675
191	12.56525333
192	12.5410453
193	12.46375221
194	12.37049942
195	12.34651432
196	12.30403176
197	12.28246318
198	12.15651421
199	12.11376683
200	12.09049086
201	12.06981747
202	12.04962795
203	12.02940462
204	12.00976165
205	11.88785089
206	11.78281629
207	11.7036213
208	11.68197226
209	11.66301084
210	11.58303443
211	11.54351437
212	11.52495112
213	11.4508098
214	11.41611979
215	11.39784118
216	11.32102973
217	11.23857424
218	11.22053537
219	11.20098213
220	11.16680689
221	11.14955605
222	11.07774809
223	11.00267391
224	10.98038508
225	10.94749842
226	10.85116938
227	10.83273862
228	10.74417845
229	10.72793015
230	10.69281404
231	10.64979333
232	10.61047236
233	10.59442076
234	10.53585312
235	10.43245272
236	10.40833123
237	10.39266838
238	10.37737615
239	10.27378488
240	10.24692294
241	10.21936139
242	10.14055908
243	10.11147026
244	10.03595568
245	9.927096696
246	9.84558732
247	9.792227884
248	9.777409396
249	9.762940449
250	9.728326744
251	9.71252
252	9.641167868
253	9.607308845
254	9.582371519
255	9.56842202
256	9.554802393
257	9.529510622
258	9.420000039
259	9.368958698
260	9.355666744
261	9.342689169
262	9.2659134
263	9.222733952
264	9.19782194
265	9.15191921
266	9.137937593
267	9.124445474
268	9.091215738
269	9.010170597
270	8.927845042
271	8.875525201
272	8.862000847
273	8.848946445
274	8.826557189
275	8.803882525
276	8.768349087
277	8.685117141
278	8.673452215
279	8.646955119
280	8.626776109
281	8.615323216
282	8.525586821
283	8.514466049
284	8.475376269
285	8.395744933
286	8.375852078
287	8.335109293
288	8.313481414
289	8.284024427
290	8.246184728
291	8.223078412
292	8.154961587
293	8.142853206
294	8.114177876
295	8.102518159
296	8.09091265
297	8.026563951
298	8.014303811
299	8.004321681
300	7.992555424
301	7.942365988
302	7.922248289
303	7.871043768
304	7.861441725
305	7.852069035
306	7.772037976
307	7.746216737
308	7.727418791
309	7.706156197
310	7.648890332
311	7.634912676
312	7.625901359
313	7.607923191
314	7.557341939
315	7.542482158
316	7.513899608
317	7.505120011
318	7.496550451
319	7.474865172
320	7.398419872
321	7.38427563
322	7.36807822
323	7.347298867
324	7.323234133
325	7.308529794
326	7.300167081
327	7.292004541
328	7.278654246
329	7.270672391
330	7.199605098
331	7.182492709
332	7.168513007
333	7.158550771
334	7.0981825
335	7.063289978
336	7.055706086
337	7.048304361
338	7.035439748
339	7.024107988
340	7.008705177
341	6.942717856
342	6.899947443
343	6.847499929
344	6.806562833
345	6.79947577
346	6.786915426
347	6.779691523
348	6.77291084
349	6.728276157
350	6.668156148
351	6.62867883
352	6.605853885
353	6.598936257
354	6.548599609
355	6.541417965
356	6.53449308
357	6.477533547
358	6.44149404
359	6.434664445
360	6.407820982
361	6.376799305
362	6.36021825
363	6.348641821
364	6.342026365
365	6.321933396
366	6.277914105
367	6.247484701
368	6.240382711
369	6.23464704
370	6.223661644
371	6.191994439
372	6.182984927
373	6.149282578
374	6.14367086
375	6.137669262
376	6.131787025
377	6.110392662
378	6.104033476
379	6.081072031
380	6.067928975
381	6.023595336
382	6.017852849
383	6.007778825
384	5.999212877
385	5.994166228
386	5.989242043
387	5.941874315
388	5.92713784
389	5.921383304
390	5.880214253
391	5.861190502
392	5.822502056
393	5.793099742
394	5.745184851
395	5.734582671
396	5.730062914
397	5.702152257
398	5.693284542
399	5.688852789
400	5.673938857
401	5.639419959
402	5.602253078
403	5.594079092
404	5.589712422
405	5.580717505
406	5.572548054
407	5.559314717
408	5.555106239
409	5.528251437
410	5.51198576
411	5.492523177
412	5.484325439
413	5.477395176
414	5.467736578
415	5.463578425
416	5.455496845
417	5.416378732
418	5.398044533
419	5.368074691
420	5.364065459
421	5.356732387
422	5.34987341
423	5.34177457
424	5.336147655
425	5.331957138
426	5.324282122
427	5.31842033
428	5.305522722
429	5.274554932
430	5.247631672
431	5.243887868
432	5.214224337
433	5.18319721
434	5.179550693
435	5.144628538
436	5.138092249
437	5.101299168
438	5.067973387
439	5.060209651
440	5.028067948
441	5.022311822
442	4.993996772
443	4.967059383
444	4.942611053
445	4.914733357
446	4.894591688
447	4.891057869
448	4.868443666
449	4.860327858
450	4.856824592
451	4.844763563
452	4.838566985
453	4.803040798
454	4.796995352
455	4.793593899
456	4.790319847
457	4.787125838
458	4.764280762
459	4.755300323
460	4.750059499
461	4.740680812
462	4.73750504
463	4.734379769
464	4.729017077
465	4.695978992
466	4.69295541
467	4.690035433
468	4.668576601
469	4.637389936
470	4.629945754
471	4.599921198
472	4.594495547
