Model,MAE,RMSE,R2,MAPE
Ridge (alpha=1),3.390977151511442,9.663297398058715,0.9934831118524764,1.0088827583012356
Lasso (alpha=0.001),3.5045307009689477,11.149572572027921,0.9913242702910735,1.0399690102283072
ElasticNet (l1_ratio=0.5),3.357074389104636,9.52862367861311,0.9936634928895707,1.0007735202532193
Polynomial (deg=2) + Ridge,10.175551279597995,31.081372769968468,0.9325798118960562,2.7233942733315164
Ridge (Grid Search),3.390977151511442,9.663297398058715,0.9934831118524764,1.0088827583012356
Lasso (Grid Search),3.5609150990752108,10.444262285427373,0.9923871878204776,1.0698592082438199
ElasticNet (Grid Search),3.5316786027970313,10.370521281567598,0.9924943078098131,1.042187073665474
DecisionTreeRegressor,1.780508474576346,12.276060829579063,0.9894826182130536,0.5019330223811712
RandomForestRegressor,3.524166949152654,14.487063716720556,0.985352944866932,1.0170021960151812
ExtraTreesRegressor,1.8800330508475867,10.46831768495674,0.9923520795233721,0.5382203172345933
AdaBoostRegressor (DT max_depth=3),42.92489075068702,50.3835296599432,0.8228395584617875,13.620610517881046
GradientBoostingRegressor,9.630655031271527,15.888595605971602,0.9823818380010728,2.974393388661645
HistGradientBoostingRegressor,5.319867697553861,14.09078436528037,0.9861432968414148,1.6413196430752681
CatBoostRegressor (RS),6.0447825881534145,12.285110025096682,0.989467106898187,1.7701754358953319
SVR (RBF kernel),11.093821708934705,29.630592933017663,0.9387268425860135,3.404562634025769
GaussianProcessRegressor (RBF + White),348.0644179795072,368.072898987704,-8.454906954836682,98.71971891038342
XGBRegressor (RS),3.471538592839646,9.810728383624939,0.9932827412125297,1.0447934001677655
LGBMRegressor (RS),4.664636468687382,12.783012412260305,0.9885960318140908,1.3533326468613143
CatBoostRegressor (RS),6.0447825881534145,12.285110025096682,0.989467106898187,1.7701754358953319
SVR (RBF kernel),11.093821708934705,29.630592933017663,0.9387268425860135,3.404562634025769
GaussianProcessRegressor (RBF + White),348.0644179795072,368.072898987704,-8.454906954836682,98.71971891038342
FNN (baseline),17.873556123183945,48.090831447149334,0.8385960543366564,4.817686888856305
FNN (RandomSearch best),14.579951963586323,45.69618776581658,0.8542698149426899,3.9194312762160957
